a,tópico,subtópico,pregunta,respuesta1,respuesta2,respuesta3,respuesta_correcta
a,Historia y Geografía,Historia Argentina,¿Quién es el padre de la patria Argentina?,Juan Manuel de Rosas,Manuel Belgrano,San Martin,3
a,Historia y Geografía,Geografía Argentina,¿Cuál es la Capital de la República Argentina?,Buenos Aires,Rosario,Córdoba,1
a,Historia y Geografía,Historia Mundial,¿Cuál es la Nacionalidad de Cleopatra?,Romana,Egipcia,Otomana,2
a,Historia y Geografía,Historia Antigua,¿Quién colonizó América?,Manuel Belgrano,Cristobal Colon,Hernán Cortés,2
a,Historia y Geografía,Banderas y Países,¿En qué país está ubicado Tokyo?,Japón,China,Corea del Sur,1
a,Historia y Geografía,Geografía Mundial,¿Con qué países limita los Estados Unidos?,Canadá y Cuba,Canadá y Alaska,Canadá y México,3
a,Deportes,Selección Argentina,¿Qué animal dio nombre a la selección Argentina de rugby?,Tigre,Puma,Jaguarete,2
a,Deportes,Jugadores Argentinos,¿En qué club juega Lautaro Martinez?,Inter de Milán,Juventus,Torino,1
a,Deportes,Copa Mundial,¿En qué país se jugará el mundial del 2022?,Qatar,Estados Unidos,Italia,1
a,Deportes,Historia deporte Argentino,¿Cual es el máximo de puntos que se puede lograr con un solo tiro en basketball?,3,4,5,1
a,Deportes,Clubes y Ligas Mundiales,¿En qué provincia se encuentran los clubes Belgrano y Talleres?,Santa Fe,Córdoba,Jujuy,2
a,Deportes,Futbolistas,¿Qué jugador de la selección argentina usa el dorsal número 8?,Marcos Acuña,Rodrigo De Paul,Leandro Paredes,1
a,Zoología,Acuáticos,¿Cuál de los siguientes mamíferos vive en el agua?,Delfín,Yacare,Serpiente de cascabel,1
a,Zoología,Voladores,¿Cuál de estos animales puede volar?,Loro,Gallina,Pingüinos,1
a,Zoología,Terrestres,¿Qué animal es el más dormilón?,Koala,Perezoso,Oso panda,1
a,Zoología,Domésticos,¿Qué animal se relaciona por la caza de ratas?,Gato,Perro,Hienas,1
a,Zoología,Otros,¿Cuál es la serpiente más venenosa?,Pitón,Cobra,Taipán,3
a,Zoología,Alimentación,¿Qué comen los loros?,Semillas,Insectos,Plantas,1
a,Películas y Series,Series,¿Quién es el protagonista de flash?,Barry Allen,Alan Scott,Bruce Banner,1
a,Películas y Series,Películas,¿Cuantas peliculas hay de Iron Man?,3,5,2,1
a,Películas y Series,Series,¿Dónde trabaja Homero Simpson?,Planta nuclear,McDonald's,Compañía electrónica,1
a,Películas y Series,Películas,¿Cómo se  llama el Velociraptor de Jurassic World?,Blu,Rock,Richards,1
a,Películas y Series,Películas,¿Cuál es el nombre de Batman?,Bruce Wayne,Wade Winston Wilson,James Logan,1
a,Películas y Series,Series,¿Cuál es el nombre de Iron Man?,Tony Stark,Steve Rogers,Robert Downey Jr.,1
a,Preguntas Varias,Dispositivos móviles,¿Cuál de estos es un dispositivo móvil?,Celulares,Computadora,Playstation,1
a,Preguntas Varias,Consolas de videojuegos,¿De qué franquicia es Mario Bros?,Nintendo,Xbox,Sega,1
a,Preguntas Varias,Ciencias,¿A qué reino pertenecen las Hormigas?,Reino animal,Reino vegetal,Fungi,1
a,Preguntas Varias,Videojuegos,"¿A qué video juegos refiere las letras ""CS""?",Counter Strike,Call Of Duty,God of War,1
a,Preguntas Varias,Marcas,¿Cuál de estas marcas es de deporte?,Nike,Pepsi,Rolex,1
a,Preguntas Varias,Música,¿Qué género de música empezó en su carrera Duki?,Rap,Trap,Reggaeton,1
a,Historia y Geografía,Historia Argentina,¿Qué sucedió el 25 de mayo de 1810 en Argentina?,Revolución de Mayo,Batalla de San lorenzo,Guerra de la Triple Alianza,1
a,Historia y Geografía,Geografía Argentina,¿Cómo se llama la provincia Argentina más al sur?,Chaco,Tierra del Fuego,Santa Fe,2
a,Historia y Geografía,Historia Mundial,"¿A qué país se le apoda como ""El Sol Naciente""?",China,Indonesia,Japón,3
a,Historia y Geografía,Historia Antigua,¿De qué mitología es Hades?,Egipcia,Romana,Griega,3
a,Historia y Geografía,Banderas y Países,¿Qué colores conforman la bandera de Estonia?,"Rojo, amarillo y verde","Azul, negro y blanco","Verde, blanco y rojo",2
a,Historia y Geografía,Geografía Mundial,¿En qué continente se ubica Australia?,Centroamérica,Europa,Oceanía,3
a,Deportes,Selección Argentina,¿Quién fue el último técnico de la selección de Argentina de fútbol masculino?,Lionel Scaloni,Jorge Sampaoli,Tata Martino,2
a,Deportes,Jugadores Argentinos,¿En qué club debutó profesionalmente Lionel Messi?,Newell´s,Barcelona,París Saint Germain,2
